unit,tra_meas,tra_cov,schedule-time,geo,2017M09,2017M08,2017M07,2017M06,2017M05,2017M04,2017M03,2017M02,2017M01,2016M12,2016M11,2016M10,2016M09,2016M08,2016M07,2016M06,2016M05,2016M04,2016M03,2016M02,2016M01,2015M12,2015M11,2015M10,2015M09,2015M08,2015M07,2015M06,2015M05,2015M04,2015M03,2015M02,2015M01,2014M12,2014M11,2014M10,2014M09,2014M08,2014M07,2014M06,2014M05,2014M04,2014M03,2014M02,2014M01,2013M12,2013M11,2013M10,2013M09,2013M08,2013M07,2013M06,2013M05,2013M04,2013M03,2013M02,2013M01,2012M12,2012M11,2012M10,2012M09,2012M08,2012M07,2012M06,2012M05,2012M04,2012M03,2012M02,2012M01,2011M12,2011M11,2011M10,2011M09,2011M08,2011M07,2011M06,2011M05,2011M04,2011M03,2011M02,2011M01,2010M12,2010M11,2010M10,2010M09,2010M08,2010M07,2010M06,2010M05,2010M04,2010M03,2010M02,2010M01,2009M12,2009M11,2009M10,2009M09,2009M08,2009M07,2009M06,2009M05,2009M04,2009M03,2009M02,2009M01,2008M12,2008M11,2008M10,2008M09,2008M08,2008M07,2008M06,2008M05,2008M04,2008M03,2008M02,2008M01,2007M12,2007M11,2007M10,2007M09,2007M08,2007M07,2007M06,2007M05,2007M04,2007M03,2007M02,2007M01,2006M12,2006M11,2006M10,2006M09,2006M08,2006M07,2006M06,2006M05,2006M04,2006M03,2006M02,2006M01,2005M12,2005M11,2005M10,2005M09,2005M08,2005M07,2005M06,2005M05,2005M04,2005M03,2005M02,2005M01,2004M12,2004M11,2004M10,2004M09,2004M08,2004M07,2004M06,2004M05,2004M04,2004M03,2004M02,2004M01,2003M12,2003M11,2003M10,2003M09,2003M08,2003M07,2003M06,2003M05,2003M04,2003M03,2003M02,2003M01,2002M12,2002M11,2002M10,2002M09,2002M08,2002M07,2002M06,2002M05,2002M04,2002M03,2002M02,2002M01,2001M12,2001M11,2001M10,2001M09,2001M08,2001M07,2001M06,2001M05,2001M04,2001M03,2001M02,2001M01,2000M12,2000M11,2000M10,2000M09,2000M08,2000M07,2000M06,2000M05,2000M04,2000M03,2000M02,2000M01,1999M12,1999M11,1999M10,1999M09,1999M08,1999M07,1999M06,1999M05,1999M04,1999M03,1999M02,1999M01,1998M12,1998M11,1998M10,1998M09,1998M08,1998M07,1998M06,1998M05,1998M04,1998M03,1998M02,1998M01,1997M12,1997M11,1997M10,1997M09,1997M08,1997M07,1997M06,1997M05,1997M04,1997M03,1997M02,1997M01,1996M12,1996M11,1996M10,1996M09,1996M08,1996M07,1996M06,1996M05,1996M04,1996M03,1996M02,1996M01,1995M12,1995M11,1995M10,1995M09,1995M08,1995M07,1995M06,1995M05,1995M04,1995M03,1995M02,1995M01,1994M12,1994M11,1994M10,1994M09,1994M08,1994M07,1994M06,1994M05,1994M04,1994M03,1994M02,1994M01,1993M12,1993M11,1993M10,1993M09,1993M08,1993M07,1993M06,1993M05,1993M04,1993M03,1993M02,1993M01
PAS,PAS_CRD,TOTAL,TOT,AT,:,:,:,:,:,:,2196824,1866149,1885574,2046085,1946072,2398405,2665489,2723254,2776608,2450672,2373298,2099280,2151897,1780026,1770425,1858999,1843174,2279362,2622134,2775665,2739213,2520214,2363428,2182653,2100017,1718104,1751044,1870560,1806834,2267695,2519181,2645521,2571197,2483100,2330573,2189347,2108523,1779141,1807004,1873528,1817948,2230866,2451674,2537606,2513804,2408193,2239011,2029996,2150535,1733910,1762653,1843440,1827408,2215188,2502746,2493086,2545147,2394370,2253364,2144869,2133740,1810625,1801994,1840181,1825947,2169417,2442374,2461844,2553335,2279147,2192972,2015846,1977449,1667770,1711330,1691526,1740819,2085698,2280317,2356612,2401499,2151684,2080848,1624357,1908254,1594077,1616764,1620639,1575004,1873276,2030273,2122960,2177365,1966868,1856949,1782854,1741349,1516246,1553484,1592732,1584923,1936078,2182811,2307779,2323552,2233935,2139815,1955301,2113381,1807226,1722051,1756112,1753531,1977355,2180739,2241718,2270779,2105868,1920593,1801215,1830259,1547059,1540876,1535643,1457363,1759013,2018864,2058357,2131217,1964460,1791334,1677498,1601234,1400385,1429165,1415462,1384661,1681956,1956124,1984823,2081151,1848362,1730998,1494534,1524609,1276452,1305690,1310390,1293256,1578132,1817173,1889080,1912868,1719314,1582546,1429080,1346655,1218986,1199132,1195331,1171212,1407540,1567715,1671281,1608902,1508723,1257704,1124827,1169401,1051790,1064226,1043829,1048688,1299033,1497293,1566658,1541140,1473653,1297798,1127261,1170101,955778,922533,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,BE,:,:,:,2986272,2983022,2891115,2462550,2083035,2064270,2254808,2318544,2767036,2990813,3133437,3213462,2736786,2703577,2005251,1936776,2089083,1966259,2052617,2238354,2823646,3043615,3260405,3281630,2855538,2859581,2660132,2209413,1856334,1817576,1949000,2107419,2618148,2872608,3103037,3065902,2683507,2619815,2505099,2004797,1608226,1638700,1794956,1864727,2342300,2593195,2785575,2835828,2460324,2408826,2261127,1932190,1555965,1554914,1690925,1829209,2276696,2555419,2712545,2828842,2408452,2353375,2236235,1906186,1586685,1534946,1672498,1810841,2259696,2507760,2571801,2709542,2303327,2282020,2141705,1870073,1472013,1501419,1555748,1757811,2141503,2217019,2407821,2487914,2093415,2078077,1544861,1678130,1397881,1337584,1471615,1593582,1880843,2031472,2236463,2304139,1954362,1921654,1874276,1537116,1269093,1242075,1396295,1521292,1886223,2084813,2232114,2326377,2023912,2025893,1889593,1734538,1475935,1386698,1467486,1584963,1865508,2035728,2124836,2233117,1882832,1837109,1742340,1554827,1250092,1226617,1255829,1392535,1689298,1859267,1929181,2056803,1778551,1775790,1677807,1417005,1174598,1148009,1174054,1301438,1561327,1753405,1828391,1935586,1647288,1624533,1518784,1307341,1135868,1025928,1168370,1278950,1527263,1712633,1773196,1883096,1573427,1577769,1509387,1290226,1126142,1048044,989286,1070423,1364402,1477390,1611542,1641521,1435306,1315159,1269341,1099772,917218,904519,938440,1019750,1329962,1451559,1497043,1531905,1299633,1297000,1178498,1076168,859325,79679,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,BG,:,:,:,1384824,767812,615682,544316,480657,493259,494819,452109,562726,1172583,1684644,1699632,1171437,622014,411154,366203,334689,352207,340914,315488,427016,921961,1452396,1390599,975825,501317,362523,324201,286718,311991,313277,290550,383929,852992,1452946,1396172,1080830,511137,350849,314591,274571,298853,296731,271842,356604,844583,1360860,1349921,983674,479412,309296,294684,252029,279656,276741,253041,333363,795693,1306449,1337258,946489,438227,318565,288098,248309,276870,274324,245788,339600,806260,1257769,1261908,872497,452652,315771,288958,255290,281190,270002,247081,348654,733968,1168521,1147747,794101,424416,245311,273116,242626,273780,259488,226626,312347,688883,1072533,1041931,777707,414321,273385,260743,239638,273223,260205,232781,352803,829599,1205260,1152527,888061,472013,269281,275083,239511,240868,246189,207164,319476,815091,1163998,1163949,858324,416286,237480,229114,195346,219940,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,CH,:,:,:,4719822,4495142,4652715,4314174,3703479,3716220,3865046,3453343,4678885,4568881,4978179,5079927,4305416,4347627,4107853,4085372,3543955,3491008,3522465,3310528,4375051,4362164,4805848,4790693,4161984,4141957,4048758,3889314,3280428,3337185,3443380,3148870,4205245,4185618,4603622,4497861,4096298,3869086,3906753,3760274,3172123,3238296,3278394,3024018,3913911,3935600,4256793,4312013,3873201,3803698,3724740,3788887,3144838,3161475,3219302,3017753,3822673,3860268,4091271,4239321,3766339,3633333,3681223,3624391,3135106,3145106,3185073,2910281,3766686,3688245,3869388,4129196,3599495,3458412,3450976,3386536,2934135,3061425,2869481,2795241,3567398,3416506,3618005,3709175,3212916,3118248,2606965,3201375,2715644,2785005,2788657,2599284,3284448,3150301,3435023,3476008,3109528,2950766,3047449,2928961,2524434,2633310,2642716,2488567,3196988,3177284,3481984,3516853,3156183,3132110,3034362,3306070,2780846,2681772,2687807,2484738,3089274,3061745,3219278,3325140,2944037,2808333,2897957,2999644,2490465,2529280,2546470,2279527,2862370,2850288,2948475,3053600,2764107,2643207,2706519,2647872,2229366,2297852,2230702,2041214,2596525,2555870,2678630,2826645,2433265,2347629,2387613,2519743,2069842,2188647,2054285,1902085,2451180,2375166,2459186,2553228,2249176,2112621,2240477,2222102,1975474,1972908,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1960126,1984426,2738864,2497685,2624085,2632226,2275050,2234179,2157983,2198779,1792892,1911549,1810770,1756503,2303968,2315559,2422024,2422560,2188937,2092520,2125685,1970854,1630026,1702214,1680580,1649161,2222394,2220137,2331858,2296555,2052443,2000985,1918637,1919826,1523962,1559132,1555154,1504936,2034477,1992942,2052332,2041640,1877495,1799654,1789292,1767027,1448956,1465134,1488703,1425503,2051859,1946424,1927468,2008394,1785752,1709864,1783929,1617420,1311831,1444205,1413840,1323167,1870487,1801741,1849682,1954147,1656824,1628018,1620582,1573372,1269124,1396350,1301734,1237592,1754990,1709595,1751247,1789519,1551152,1548424,1538027,1403092,1216021,1338447
PAS,PAS_CRD,TOTAL,TOT,CY,:,1403953,1361752,:,1011928,780519,466747,347714,364542,387090,485768,1007761,1096334,1260117,1218730,1011528,901195,602240,416466,283688,290900,319224,405956,762881,938495,1092384,1042322,848491,761100,566410,341318,245305,266901,297124,370760,772630,881034,1063336,1008904,873571,745245,534378,306090,229216,246258,266787,348935,790568,894754,972178,940066,840135,738059,468845,313984,204904,232222,272897,352527,803838,910215,1038076,991330,853578,698223,560623,326936,255273,264784,287201,363486,770287,837728,1015203,969820,798809,697392,569003,350331,256350,274777,297539,374529,760881,824678,982499,889878,758152,672133,462592,387542,258954,278911,315358,370990,700898,779469,926662,860358,714840,641753,559625,336373,249101,274360,322958,392637,764407,824113,1018344,929745,800321,693103,529463,384602,279810,278581,325417,363732,775937,841408,985735,907289,724139,653106,539168,363519,252100,272765,273795,339678,746873,755540,908937,903067,707028,677877,556059,334965,238505,271778,274801,354038,764309,752843,950424,857922,716758,691181,505740,393344,249254,271907,280911,358454,725863,198132,191046,176080,178276,166546,142727,110355,72092,60289,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,CZ,:,:,:,1616177,1341865,1263891,1072321,849582,868566,1046584,994899,1225588,1478105,1573745,1584206,1348177,1103672,975675,907730,722370,711611,864921,871581,1089549,1358210,1506583,1494935,1328075,1092539,956678,821510,638120,649303,782638,799675,1041200,1317820,1429282,1392495,1265173,1037450,948014,810876,606615,648635,757472,761934,1016833,1299130,1434105,1415407,1243394,1030865,917915,811521,582934,620302,740127,760685,986916,1267467,1363301,1349272,1194962,987057,936613,826374,637832,691746,785403,793317,1096052,1335896,1462876,1479115,1294393,1138954,1048932,868443,657122,690029,771070,824180,1128032,1316832,1431857,1412454,1203284,1050300,816449,887087,685925,714916,852453,854634,1052787,1291327,1473838,1447315,1234785,1031799,981167,835976,640527,670859,797261,832911,1119218,1411733,1545867,1501406,1384172,1198767,1042433,1016272,800424,778685,919184,969129,1155617,1367693,1457509,1419195,1280357,1095342,1028328,943419,736761,725607,853060,848672,1082521,1303883,1400599,1363682,1227959,1041517,963037,804206,623080,659019,741562,776061,1003575,1185829,1278005,1275469,1138295,966537,844417,806423,605210,644381,720838,748502,928211,1069663,1131621,1109337,24626,4189,2523,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,DE,:,:,21788797,19908381,19100564,17906786,15601985,12849806,13146511,13999982,13971638,19660824,20239799,20280099,20428888,18486171,18101677,15798088,15109267,12384170,12226690,12872632,13470542,18926255,19263574,20255751,19625743,18316734,17893241,15683137,14357887,11562591,11708343,12425609,13594679,18004125,18911048,19425021,18487775,17740470,16813839,15024355,13601984,11091453,11325456,11968104,12975666,17533644,18070485,18264238,18268301,17157093,16546922,14557685,13739551,10770018,10931481,11692773,12771018,17074719,17656529,17775789,18231496,16784744,16071844,14556629,13670984,10968126,11336452,12029444,12923012,16808357,17329109,17188516,17716143,16240836,15900122,14225360,13180168,10698666,11076343,11233424,12665076,16654159,16767396,16905822,17048855,15548468,15144847,10879022,13090984,9985787,10206993,11063163,11694721,15227995,15228687,15721894,15921946,14549896,14016620,12980794,11939720,9854594,9948799,10777017,11603290,15440396,15956330,16121924,16396920,15401855,15249943,13549283,13123291,11200455,10938142,11315762,12284085,15756777,16143437,16215054,16283893,15033807,14375827,13107702,12782401,10167109,10319039,10631657,11277211,14599495,15298559,15184374,15230896,14636619,13782101,12701064,11620184,9424905,9703012,9884143,10778423,14199040,14662276,14608672,14463849,13300644,13009582,11647003,11269127,9033146,9246574,9172686,10196304,13571271,13809926,13734489,13145060,12114425,11924284,10675870,10421204,8730866,8413479,8342819,9299098,12007121,12319460,12564581,11604933,10903388,10011785,9279446,9119146,7776470,7953158,7630393,8356214,11235030,11812954,11532533,11228699,10385954,9894566,9064471,9155753,7211267,6875419,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,DK,:,:,:,:,:,2735967,2548235,2208418,2208521,2280069,2398470,3042096,3053033,3131773,3480953,3140864,2904048,2569129,2538415,2159939,2064353,2104646,2261523,2822697,2845032,2927393,3195140,2895624,2631635,2402197,2282557,1872931,1854130,1889708,2036477,2651309,2678530,2813027,3067188,2879216,2633490,2477638,2211555,1849484,1828188,1837397,1998405,2507211,2544427,2647638,2896613,2686885,2447832,2223017,2130275,1779638,1760371,1744328,1983487,2406223,2448005,2489762,2751574,2550316,2286835,2167276,2133485,1808492,1763482,1751419,1942030,2349578,2412756,2448579,2715608,2473470,2303623,2077662,1981175,1685808,1666986,1646992,1847457,2347440,2303136,2430127,2626516,2384090,2156579,1466776,1979184,1609501,1537054,1518590,1659869,2060213,2052684,2153211,2329741,2165052,1917861,1817044,1694359,1455301,1453599,1486165,1667976,2144770,2228404,2355498,2525553,2410382,2220757,2031133,2035878,1816294,1716262,1621757,1831651,2183943,2225669,2309221,2467530,2310372,2086775,1849653,1974714,1578206,1603681,1547564,1741024,2075210,2132964,2152095,2347535,2230437,2015465,1847503,1818485,1569499,1489779,1527325,1698409,2053499,2120804,2081875,2257549,2185240,1899660,1745052,1729768,1449587,1425002,1414588,1570401,1893456,1972165,1943053,2113647,2122492,1837448,1709704,1681524,1431742,1315828,27194,30608,35379,36071,32786,28297,31160,32005,28695,29019,24892,25839,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,EE,:,:,:,258805,232518,202889,184307,149119,154185,159822,159672,210284,214518,227497,227231,224055,200537,179293,157596,127811,126673,133411,145370,206634,207006,233652,230818,217155,200502,174411,162494,121827,127698,137147,147570,189193,195525,208671,212112,200877,186132,159035,149286,113710,120548,124998,136779,187840,190431,200405,198795,200012,183407,160495,143652,108612,123139,135094,150764,202796,208067,223484,227873,224968,215075,191656,163573,125804,133273,142742,151528,179521,185063,192778,188606,186556,180284,149330,136764,103790,110607,103343,108565,131427,133593,137726,135412,138498,124222,87198,109021,83729,88328,91741,99473,117547,118201,130153,127751,126721,114900,111148,113514,91136,99009,108989,124648,162880,163838,175725,171877,174431,164670,154608,151716,128992,122056,126729,141092,160734,164875,167764,160384,164122,144700,132606,137816,111159,110524,108907,121077,134208,142449,148901,137989,150192,138741,126664,125432,98509,100063,102204,114572,132715,132407,136068,132923,136447,120272,111009,104218,85205,85065,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
PAS,PAS_CRD,TOTAL,TOT,EL,:,:,:,:,:,:,:,:,:,1627504,1604824,4022715,6417788,7785589,7576260,5758329,4371155,2258706,1564712,1260146,1295643,1418678,1452899,3382557,5810847,7427749,7014031,5617275,4112577,2227095,1347345,1091972,1193377,1302615,1319184,3309727,5542649,7000561,6628494,5377590,3771893,1955110,1079638,887154,943218,1035366,1047697,2791126,5011620,6073082,5768258,4735479,3348977,1518730,1020534,804904,868161,977414,1005551,2478639,4613948,5629745,5446517,4307437,2971253,1765467,1059203,856022,971140,1059687,1035114,2732079,4706546,5797464,5653529,4524096,3265986,1819762,1178419,932804,1065253,1157329,1175718,2657051,4385964,5485981,5185291,4044552,3122080,1669686,1383457,1095128,1225835,1341133,1298123,2782423,4502332,5558968,5217242,4303463,3172718,1918996,1226701,998901,1119269,1271402,1257373,2877142,4710828,5824781,5488560,4590133,3538440,1825913,1396536,1067746,1210950,1366195,1296826,2999767,4932123,5903396,5628003,4524993,3437645,1940488,1347840,1031868,1158081,1235177,1149378,2949990,4575473,5403757,5202060,4196152,3174894,1794066,1145470,904166,1031757,1086604,1042752,2822648,4288457,5048527,4795195,3864046,3132191,1560033,1212642,897549,1047883,1080153,1054029,2785668,4103543,4809733,4386776,3672763,2990402,1663306,1182063,848249,932577,1028655,994499,2661478,4105513,4951541,4350153,3861055,2125290,1464879,951243,795160,875961,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1215720,1044242,2936447,4259348,4877679,4640414,3957891,3101278,1860483,1043568,870969,917426,948972,914375,2745109,3938857,4611411,4221664,3445651,2824310,1540516,926378,689719,787009,967707,793486,2279457,3330263,3991369,3617461,3039376,2508182,1401525,794111,646322,734534,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
